record_id,date,job_number,product_code,stage,work_centre,operator_id,operator_name,hours_worked,units_completed,units_scrapped,scrap_reason,notes,name,labour_rate,labour_cost,quantity_ordered,status,date_closed,flag_missing_operator,flag_has_scrap_no_reason,flag_post_close_labour
101,2026-06-01,JOB-1001,PRD-110,Mixing,WC-100,OP-104,"Osei, K.",6.17,14,0,,,Mixing,46.5,286.9,20,Closed,2026-06-17,False,False,False
102,2026-06-02,JOB-1001,PRD-110,Mixing,WC-100,OP-101,"Kowalski, D.",2.65,6,0,,,Mixing,46.5,123.22,20,Closed,2026-06-17,False,False,False
103,2026-06-02,JOB-1002,PRD-310,Mixing,WC-100,OP-103,"Ferreira, M.",6.75,15,0,,,Mixing,46.5,313.88,18,Closed,2026-06-13,False,False,False
104,2026-06-03,JOB-1001,PRD-110,Casting,WC-200,OP-103,"Ferreira, M.",5.11,4,1,Surface defect,,Casting,42.75,218.45,20,Closed,2026-06-17,False,False,False
105,2026-06-03,JOB-1002,PRD-310,Mixing,WC-100,OP-102,"Nguyen, T.",1.35,3,0,,,Mixing,46.5,62.78,18,Closed,2026-06-13,False,False,False
106,2026-06-03,JOB-1003,PRD-120,Mixing,WC-100,OP-101,"Kowalski, D.",6.85,16,0,,,Mixing,46.5,318.52,16,Closed,2026-06-16,False,False,False
107,2026-06-04,JOB-1001,PRD-110,Casting,WC-200,OP-101,"Kowalski, D.",6.38,5,0,,,Casting,42.75,272.74,20,Closed,2026-06-17,False,False,False
108,2026-06-04,JOB-1002,PRD-310,Casting,WC-200,OP-102,"Nguyen, T.",4.94,4,0,,,Casting,42.75,211.19,18,Closed,2026-06-13,False,False,False
109,2026-06-04,JOB-1003,PRD-120,Casting,WC-200,OP-105,"Beaulieu, R.",6.28,5,0,,,Casting,42.75,268.47,16,Closed,2026-06-16,False,False,False
110,2026-06-04,JOB-1004,PRD-440,Mixing,WC-100,OP-103,"Ferreira, M.",6.15,14,0,,,Mixing,46.5,285.98,20,Closed,2026-06-17,False,False,False
111,2026-06-05,JOB-1001,PRD-110,Casting,WC-200,OP-105,"Beaulieu, R.",6.38,5,1,Cracking,,Casting,42.75,272.74,20,Closed,2026-06-17,False,False,False
112,2026-06-05,JOB-1002,PRD-310,Casting,WC-200,OP-103,"Ferreira, M.",6.18,5,0,,,Casting,42.75,264.2,18,Closed,2026-06-13,False,False,False
113,2026-06-05,JOB-1003,PRD-120,Casting,WC-200,OP-102,"Nguyen, T.",5.02,4,1,Surface defect,,Casting,42.75,214.6,16,Closed,2026-06-16,False,False,False
114,2026-06-05,JOB-1004,PRD-440,Mixing,WC-100,OP-101,"Kowalski, D.",2.64,6,0,,,Mixing,46.5,122.76,20,Closed,2026-06-17,False,False,False
115,2026-06-05,JOB-1005,PRD-450,Mixing,WC-100,OP-104,"Osei, K.",6.65,15,0,,,Mixing,46.5,309.23,18,Closed,2026-06-18,False,False,False
116,2026-06-08,JOB-1001,PRD-110,Casting,WC-200,OP-102,"Nguyen, T.",6.38,5,0,,,Casting,42.75,272.74,20,Closed,2026-06-17,False,False,False
